experiment,split,class_id,class_name,precision,recall,mAP50,mAP50-95
yolov8n_1280_full,val,0,Caries,0.4856624027418356,0.5677966101694916,0.5798659703058766,0.36530095529261847
yolov8n_1280_full,val,1,Periapical_Lesion,0.6144693619467599,0.571764705882353,0.5942607152110794,0.25726262394923255
yolov8n_1280_full,val,2,Impacted,0.695174458135349,0.8387096774193549,0.8214868801386772,0.5970582392688402
yolov8n_c2f_faster_lite_1280_full,val,0,Caries,0.524219074094918,0.5,0.5725027938265548,0.3719084606015965
yolov8n_c2f_faster_lite_1280_full,val,1,Periapical_Lesion,0.6990216973370612,0.43529411764705883,0.6000567336285056,0.2481883534150265
yolov8n_c2f_faster_lite_1280_full,val,2,Impacted,0.6350678895282964,0.8709677419354839,0.8052565994344514,0.5552608329233897
yolov8m_1280_full,val,0,Caries,0.45543207005283165,0.6186440677966102,0.5938741600962947,0.38004721636904565
yolov8m_1280_full,val,1,Periapical_Lesion,0.6156649469889974,0.6709125167421057,0.633416966325135,0.26801769217508353
yolov8m_1280_full,val,2,Impacted,0.6450557256107281,0.7741935483870968,0.7534094957517019,0.4985834841987554
yolov8m_c2f_faster_lite_1280_full,val,0,Caries,0.5058101803104965,0.6271186440677966,0.5961991756074371,0.39887482197121377
yolov8m_c2f_faster_lite_1280_full,val,1,Periapical_Lesion,0.6597930430491282,0.5788235294117647,0.6130600288030349,0.2568516504366923
yolov8m_c2f_faster_lite_1280_full,val,2,Impacted,0.6563075125426435,0.8709677419354839,0.7573878776248698,0.5228982326795156
